episode_id	arc	arc_number	description	length	date_released	text_file
0	Setup	1	We’re moving on to a new game, new genre and new world as we continue our run of experimental mini-arcs! This time around, Griffin’s back in the saddle as GM as we play the Horror-Lite RPG Monster of the Week! Join us in this setup episode if you want to hear about this arc’s setting, and get the 411 on our new characters.	00:56:24	2018-01-04	taz_amnesty_0.txt
1	The Beast	1	Our heroes begin a fateful day in the unassuming, rural ski town of Kepler, West Virginia. Duck answers a peculiar distress call. Aubrey puts on a memorable magic show. Ned plans his next grift.	01:06:13	2018-01-12	taz_amnesty_1.txt
2	The Beast	2	Our heroes take one step closer toward their joined destinies, and learn the truth about the woods outside Kepler in their own ways. Aubrey visits the Lodge. Ned shoots a fan film. Duck gets a visit from an old friend.	01:02:04	2018-01-18	taz_amnesty_2.txt
3	The Beast	3	Fate draws our heroes towards the same spot in the Monongahela National Forest, where, at long last, their destinies entwine. Ned has a remarkable dream. Duck travels to a strange land. Aubrey starts a fire.	01:07:23	2018-01-25	taz_amnesty_3.txt
4	The Beast	4	Our heroes learn the whole truth of Mama’s endeavors while recovering from a strange evening, and begin planning their first hunt. Aubrey remembers a relic from her past. Duck gets a late night visit from Minerva. Ned gets stuck.	01:02:59	2018-02-01	taz_amnesty_4.txt
5	The Beast	5	Our heroes band together to hunt down the Beast terrorizing the woods outside Kepler. Ned remembers a fateful night. Aubrey receives a letter. Duck feels the weight of destiny.	01:15:38	2018-02-09	taz_amnesty_5.txt
6	The Water Monster	1	A new menace encroaches on Kepler, West Virginia. Have our heroes kept up with their training in the months since their last monstrous encounter? Or has this latest abomination caught them unawares? Aubrey takes a dip. Duck shows off some new moves. Ned gets airtime.	01:15:47	2018-04-12	taz_amnesty_6.txt
7	The Water Monster	2	The Pine Guard heads to the scene of last night’s attack to gather valuable intel about the latest abomination — but end up finding much, much more than they bargained for.	01:00:02	2018-04-20	taz_amnesty_7.txt
8	The Water Monster	3	The Pine Guard’s prey proves too elusive for them to take down with their usual methods, forcing them to turn to outside help. Like … FAR outside. Ned fights his reflexes. Aubrey flames out. Duck gets his victory fanfare.	01:08:31	2018-05-03	taz_amnesty_8.txt
9	The Water Monster	4	In order to defeat the abomination plaguing the waters of Kepler, the Pine Guard must first take an otherworldly field trip. Duck becomes a flyboy. Aubrey wants to touch a crystal. Ned makes his television debut.	01:10:51	2018-05-26	taz_amnesty_9.txt
