episode_id	arc	arc_number	description	length	date_released	text_file
1	Here There Be Gerblins	1	In this, the pilot episode of The Adventure Zone, the McElroys create the characters with which they’ll build a new — and hopefully very, very lucrative — fantasy fiction franchise.	01:53:37	2014-12-03	taz_balance_1.txt
2	Here There Be Gerblins	2	Our heroes’ first job is not going especially well.	01:07:24	2014-12-04	taz_balance_2.txt
3	Here There Be Gerblins	3	With one half of their former employers effectively rescued, our party begins the hunt for Gundren Rockseeker in earnest.	01:17:08	2014-12-17	taz_balance_3.txt
4	Here There Be Gerblins	4	After solving a particularly difficult jelly puzzle, our heroes journey ever deeper into Wave Echo Cave.	01:05:34	2015-01-01	taz_balance_4.txt
5	Here There Be Gerblins	5	Merle, Taako and Magnus complete their rescue mission, but then completely fail an entirely new, far more important mission. Taako acquires a powerful artifact, and doesn’t seem so stoked about it.	00:58:44	2015-01-14	taz_balance_5.txt
6	Here There Be Gerblins	6	In this, the thrilling conclusion to our first Adventure, Merle, Taako and Magnus pursue their engulfed employer into the heart of Phandalin. Will they be able to douse him before things get out of hand? Also, are you going to finish that Luna Bar?	00:55:58	2015-01-29	taz_balance_6.txt
7	Moonlighting	1	In this interlude chapter to the Adventure Zone saga, the mysteries of the universe are revealed to our heroes.	01:03:46	2015-02-11	taz_balance_7.txt
8	Moonlighting	2	Now that they can finally understand like, anything that anybody important is saying, our heroes seek employment in the Bureau of Balance.	01:11:39	2015-02-26	taz_balance_8.txt
9	Moonlighting	3	Having passed the Bureau of Balance’s punishing test of initiation, our heroes stock up on supplies and learn abilities that will help them immeasurably in the future.	01:06:07	2015-03-12	taz_balance_9.txt
10	Murder on the Rockport Limited	1	Our heroes are sent out on their first mission as Reclaimers for the Bureau of Balance. Their initial task is an impossible one: Do they possess the competence required to be on time for a train?	01:06:49	2015-03-19	taz_balance_10.txt
11	Murder on the Rockport Limited	2	Our heroes attempt to make the best out of a swampy situation, and race to Rockport before they miss a fateful train.	01:03:11	2015-03-26	taz_balance_11.txt
12	Murder on the Rockport Limited	3	Our heroes board their fateful train to Neverwinter, and are rude to just about every single person aboard.	00:57:51	2015-04-16	taz_balance_12.txt
13	Murder on the Rockport Limited	4	As you might have guessed from the title of the past few episodes, our heroes’ journey isn’t going to be an especially calm one. Because of all the murder, I mean.	00:55:23	2015-04-23	taz_balance_13.txt
14	Murder on the Rockport Limited	5	The game is afoot! The game of murder-solving, I mean. The game of Dungeons & Dragons has been afoot for a while.	00:56:12	2015-05-07	taz_balance_14.txt
15	Murder on the Rockport Limited	6	In this penultimate chapter in the Rockport Limited murder fiasco, our players deduce the true culprit of the titular heinous crime.	00:59:37	2015-05-21	taz_balance_15.txt
16	Murder on the Rockport Limited	7	In the final chapter in the Rockport Limited story arc, our heroes have little time to stop their runaway train from colliding with Neverwinter, potentially ruining some other group’s D&D session.	01:00:15	2015-06-04	taz_balance_16.txt
17	Lunar Interlude I: Carnival Chaos	1	In this brief interlude between adventures, our heroes attend an office party — well, a carnival — at the Bureau of Balance’s lunar headquarters.	01:09:20	2015-06-18	taz_balance_17.txt
18	Petals to the Metal	1	In this first chapter in a new Adventure Zone story, Merle, Taako and Magnus are in hot pursuit of a master criminal in the metropolitan city of Goldcliff.	00:59:07	2015-07-02	taz_balance_18.txt
19	Petals to the Metal	2	Our heroes attempt to reconcile with Trent the Treant; a task made difficult by the fact that one of them just cut him in half.	00:54:13	2015-07-16	taz_balance_19.txt
20	Petals to the Metal	3	In this installment, the question isn’t 'Will our heroes survive,' it's, 'What’s going to kill them first?'	00:54:02	2015-07-30	taz_balance_20.txt
21	Petals to the Metal	4	Having straight-up embarrassed themselves in their first encounter with The Raven, our heroes look for alternative methods of defeating her.	01:04:55	2015-08-13	taz_balance_21.txt
22	Petals to the Metal	5	None	00:58:11	2015-08-27	taz_balance_22.txt
23	Petals to the Metal	6	Can our heroes secure their hairy compatriot and their arcane objective while not killing everyone in sight?	00:54:55	2015-09-10	taz_balance_23.txt
24	Petals to the Metal	7	None	00:57:45	2015-09-24	taz_balance_24.txt
25	Petals to the Metal	8	This episode is basically a self-contained Fast and the Furious movie, if that film franchise incorporated actual arcane magicks, rather than just 'movie magic.'	00:59:23	2015-10-22	taz_balance_25.txt
26	Petals to the Metal	9	In this penultimate installment of a race that has gotten wildly, profoundly out of hand, our heroes take on a trio of automotive threats.	01:02:25	2015-11-05	taz_balance_26.txt
27	Petals to the Metal	10	This is it. Our heroes are in a dead heat with The Raven, the finish line in sight. Who will emerge victorious? Who will end up with the mighty Gaia Sash? More importantly, is there any prize money for this thing? Taako does some sunbathing. Magnus gets shredded. Merle executes the weirdest brag ever.	01:08:48	2015-11-19	taz_balance_27.txt
28	Lunar Interlude II: Internal Affairs	1	Our heroes return to the Bureau of Balance’s moonbase after a job kind-of well done. They’ve got a lot waiting for them: A heated debrief, a major change in the payroll and, of course, a visit to everyone’s favorite fantasy bulk shopping outlet.	01:14:32	2015-05-03	taz_balance_28.txt
29	The Crystal Kingdom	1	A new adventure begins! Join our heroes as they host a relatively successful office holiday party, and mourn as that party gets totally sidelined by a potential apocalypse.	01:01:21	2015-12-19	taz_balance_29.txt
30	The Crystal Kingdom	2	Our heroes make their way into Lucas’ floating, crystallized lab, and face off against their deadliest foe yet. Will they thrive under the pressure of an apocalyptic time limit? Or will they waste too much time just standing around, debating the names of members of the band U2?	01:02:04	2015-12-31	taz_balance_30.txt
31	The Crystal Kingdom	3	Having survived an encounter with their deadliest foe yet, our heroes take a moment to reflect on some of Faerun’s most prodigious scientific achievements.	00:59:48	2016-01-14	taz_balance_31.txt
32	The Crystal Kingdom	4	We may have finally found a challenge that our heroes cannot overcome: Math-based trivia. Can our heroes stump their animatronic captor before turning extra crispy? Can they stave off a crystalline death for one more episode? Merle seeks divine intervention. Magnus makes an otherworldly find. Taako’s good out here.	01:03:15	2016-01-27	taz_balance_32.txt
33	The Crystal Kingdom	5	Our heroes face a series of challenges while exploring Lucas’ lab that are, admittedly, all pretty adorable. But still super deadly! Just, like, huggably deadly.	00:58:01	2016-02-11	taz_balance_33.txt
34	The Crystal Kingdom	6	Can our heroes achieve a competent victory against three relatively unkillable foes? More importantly: Can they do any sick stunts while doing so? Taako conjures up the ultimate terror. Magnus has a public service announcement. Merle faces a crystal conundrum.	01:00:36	2016-02-25	taz_balance_34.txt
35	The Crystal Kingdom	7	Our heroes recover after performing some impromptu emergency surgery on their holiest team member, and then, after kicking it for a while, learn the secrets of the universe. No big deal.	01:09:12	2016-03-09	taz_balance_35.txt
36	The Crystal Kingdom	8	Hey, things aren’t really going that great for our heroes right now, but on the plus side — it’s MaxFunDrive time! You can support our show by going to maximumfun.org/donate, though unfortunately, you can’t really support our heroes right now; they’ve got to un-goof this situation themselves.	01:20:58	2016-03-24	taz_balance_36.txt
37	The Crystal Kingdom	9	It’s going down. Our heroes have a thrilling showdown with three of their most deadly, most dead foes — but will they fare as well in Round Two as they did the first time around?	01:03:03	2016-04-06	taz_balance_37.txt
38	The Crystal Kingdom	10	It’s time for the final confrontation. Who’s been hunting our heroes all throughout this campaign? What’s Lucas really after? Why is Merle getting just completely boned in every fight? Answers to these questions and more linger just behind the play button. Taako has a plan. Magnus has a snack. Merle says his prayers.	01:12:24	2016-04-21	taz_balance_38.txt
39	The Crystal Kingdom	11	After a climactic victory, our heroes have a few loose ends to tie up before moving on to their next adventure. Will Lucas and Maureen get Regulated? Will Kravitz claim his undead bounty? More importantly, how are they going to get that big, magic rock out of Magnus’ tummy?	01:12:07	2016-05-04	taz_balance_39.txt
40	Lunar Interlude III: Rest & Relaxation	1	That last adventure was a tough one. Our heroes have earned some time off — both from mortal danger, and from each other. But how do adventurers spend their downtime between jobs? Also, what’s hot and fresh at the bakery counter of the Fantasy Costco?	01:31:13	2016-05-18	taz_balance_40.txt
41	The Eleventh Hour	1	After a fairly morose start to the episode, our heroes are launched — with great speed — into a new adventure. What awaits them inside of the time-stuck anomaly? More important question: Who’s ready for SUMMER FASHIONS?	01:08:09	2016-06-01	taz_balance_41.txt
